"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2018-2019","NSW","Biosolids","Biosolids","Type","C&I","Other disposal","Disposal",17454,"03 C&I core"
"2018-2019","NSW","Biosolids","Biosolids","Type","C&I","Recycling","Recycling",379624,"03 C&I core"
"2018-2019","NSW","Biosolids","Biosolids","Type","Total","Other disposal","Disposal",17454,"08 Total"
"2018-2019","NSW","Biosolids","Biosolids","Type","Total","Recycling","Recycling",379624,"08 Total"
"2018-2019","NSW","Glass","Glass","Type","C&D","Recycling","Recycling",995,"02 C&D"
"2018-2019","NSW","Glass","Glass","Type","C&I","Landfill","Disposal",42563,"03 C&I core"
"2018-2019","NSW","Glass","Glass","Type","C&I","Recycling","Recycling",60295,"03 C&I core"
"2018-2019","NSW","Glass","Glass","Type","MSW","Landfill","Disposal",101684,"01 MSW"
"2018-2019","NSW","Glass","Glass","Type","MSW","Recycling","Recycling",191905,"01 MSW"
"2018-2019","NSW","Glass","Glass","Type","Total","Landfill","Disposal",144247,"08 Total"
"2018-2019","NSW","Glass","Glass","Type","Total","Recycling","Recycling",253194,"08 Total"
"2018-2019","NSW","Hazardous","Acids","Type","C&I","Treatment","Unknown",4936,"03 C&I core"
"2018-2019","NSW","Hazardous","Acids","Type","Total","Treatment","Unknown",4936,"08 Total"
"2018-2019","NSW","Hazardous","Alkalis","Type","C&I","Treatment","Unknown",13474,"03 C&I core"
"2018-2019","NSW","Hazardous","Alkalis","Type","Total","Treatment","Unknown",13474,"08 Total"
"2018-2019","NSW","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",712141,"02 C&D"
"2018-2019","NSW","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",606638,"03 C&I core"
"2018-2019","NSW","Hazardous","Asbestos","Type","Total","Landfill","Disposal",1318779,"08 Total"
"2018-2019","NSW","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",3816,"03 C&I core"
"2018-2019","NSW","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",6807,"03 C&I core"
"2018-2019","NSW","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",3816,"08 Total"
"2018-2019","NSW","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",6807,"08 Total"
"2018-2019","NSW","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",552225,"02 C&D"
"2018-2019","NSW","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",40228,"02 C&D"
"2018-2019","NSW","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",214754,"03 C&I core"
"2018-2019","NSW","Hazardous","Contaminated soils","Type","C&I","Treatment","Unknown",15644,"03 C&I core"
"2018-2019","NSW","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",766979,"08 Total"
"2018-2019","NSW","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",55873,"08 Total"
"2018-2019","NSW","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",911,"03 C&I core"
"2018-2019","NSW","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",98361,"03 C&I core"
"2018-2019","NSW","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",911,"08 Total"
"2018-2019","NSW","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",98361,"08 Total"
"2018-2019","NSW","Hazardous","Inorganic chemicals","Type","C&I","Landfill","Disposal",9483,"03 C&I core"
"2018-2019","NSW","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",36576,"03 C&I core"
"2018-2019","NSW","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",45296,"03 C&I core"
"2018-2019","NSW","Hazardous","Inorganic chemicals","Type","Total","Landfill","Disposal",9483,"08 Total"
"2018-2019","NSW","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",36576,"08 Total"
"2018-2019","NSW","Hazardous","Inorganic chemicals","Type","Total","Treatment","Unknown",45296,"08 Total"
