"Year","Jurisdiction","Category","Type","Classification","Stream","Management","Fate","Tonnes","Sub-stream"
"2015-2016","Vic","Glass","Glass","Type","MSW","Recycling","Recycling",165090,"01 MSW"
"2015-2016","Vic","Glass","Glass","Type","Total","Landfill","Disposal",95557,"08 Total"
"2015-2016","Vic","Glass","Glass","Type","Total","Recycling","Recycling",174526,"08 Total"
"2015-2016","Vic","Hazardous","Acids","Type","C&I","Other disposal","Disposal",7,"03 C&I core"
"2015-2016","Vic","Hazardous","Acids","Type","C&I","Recycling","Recycling",208,"03 C&I core"
"2015-2016","Vic","Hazardous","Acids","Type","C&I","Treatment","Unknown",31320,"03 C&I core"
"2015-2016","Vic","Hazardous","Acids","Type","Total","Other disposal","Disposal",7,"08 Total"
"2015-2016","Vic","Hazardous","Acids","Type","Total","Recycling","Recycling",208,"08 Total"
"2015-2016","Vic","Hazardous","Acids","Type","Total","Treatment","Unknown",31320,"08 Total"
"2015-2016","Vic","Hazardous","Alkalis","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2015-2016","Vic","Hazardous","Alkalis","Type","C&I","Recycling","Recycling",161,"03 C&I core"
"2015-2016","Vic","Hazardous","Alkalis","Type","C&I","Treatment","Unknown",6731,"03 C&I core"
"2015-2016","Vic","Hazardous","Alkalis","Type","Total","Other disposal","Disposal",1,"08 Total"
"2015-2016","Vic","Hazardous","Alkalis","Type","Total","Recycling","Recycling",161,"08 Total"
"2015-2016","Vic","Hazardous","Alkalis","Type","Total","Treatment","Unknown",6731,"08 Total"
"2015-2016","Vic","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",54800,"02 C&D"
"2015-2016","Vic","Hazardous","Asbestos","Type","C&D","Recycling","Recycling",22,"02 C&D"
"2015-2016","Vic","Hazardous","Asbestos","Type","C&D","Treatment","Unknown",61,"02 C&D"
"2015-2016","Vic","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",46682,"03 C&I core"
"2015-2016","Vic","Hazardous","Asbestos","Type","C&I","Recycling","Recycling",19,"03 C&I core"
"2015-2016","Vic","Hazardous","Asbestos","Type","C&I","Treatment","Unknown",52,"03 C&I core"
"2015-2016","Vic","Hazardous","Asbestos","Type","Total","Landfill","Disposal",101482,"08 Total"
"2015-2016","Vic","Hazardous","Asbestos","Type","Total","Recycling","Recycling",41,"08 Total"
"2015-2016","Vic","Hazardous","Asbestos","Type","Total","Treatment","Unknown",113,"08 Total"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","C&I","Landfill","Disposal",9,"03 C&I core"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",5631,"03 C&I core"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","C&I","Recycling","Recycling",160,"03 C&I core"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",9244,"03 C&I core"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","Total","Landfill","Disposal",9,"08 Total"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",5631,"08 Total"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","Total","Recycling","Recycling",160,"08 Total"
"2015-2016","Vic","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",9244,"08 Total"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",210449,"02 C&D"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","C&D","Other disposal","Disposal",1,"02 C&D"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","C&D","Recycling","Recycling",17772,"02 C&D"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",26108,"02 C&D"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",81841,"03 C&I core"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","C&I","Recycling","Recycling",6911,"03 C&I core"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","C&I","Treatment","Unknown",10153,"03 C&I core"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",292290,"08 Total"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","Total","Other disposal","Disposal",1,"08 Total"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","Total","Recycling","Recycling",24683,"08 Total"
"2015-2016","Vic","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",36260,"08 Total"
"2015-2016","Vic","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",139862,"03 C&I core"
"2015-2016","Vic","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",25737,"03 C&I core"
"2015-2016","Vic","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",139862,"08 Total"
"2015-2016","Vic","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",25737,"08 Total"
"2015-2016","Vic","Hazardous","Inorganic chemicals","Type","C&I","Landfill","Disposal",6000,"03 C&I core"
"2015-2016","Vic","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",52963,"03 C&I core"
"2015-2016","Vic","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",2971,"03 C&I core"
"2015-2016","Vic","Hazardous","Inorganic chemicals","Type","Total","Landfill","Disposal",6000,"08 Total"
"2015-2016","Vic","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",52963,"08 Total"
"2015-2016","Vic","Hazardous","Inorganic chemicals","Type","Total","Treatment","Unknown",2971,"08 Total"
"2015-2016","Vic","Hazardous","Oils","Type","C&I","Landfill","Disposal",79,"03 C&I core"
"2015-2016","Vic","Hazardous","Oils","Type","C&I","Other disposal","Disposal",58,"03 C&I core"
"2015-2016","Vic","Hazardous","Oils","Type","C&I","Recycling","Recycling",87857,"03 C&I core"
"2015-2016","Vic","Hazardous","Oils","Type","C&I","Treatment","Unknown",4146,"03 C&I core"
"2015-2016","Vic","Hazardous","Oils","Type","Total","Landfill","Disposal",79,"08 Total"
"2015-2016","Vic","Hazardous","Oils","Type","Total","Other disposal","Disposal",58,"08 Total"
"2015-2016","Vic","Hazardous","Oils","Type","Total","Recycling","Recycling",87857,"08 Total"
"2015-2016","Vic","Hazardous","Oils","Type","Total","Treatment","Unknown",4146,"08 Total"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","C&I","Landfill","Disposal",50,"03 C&I core"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","C&I","Other disposal","Disposal",3,"03 C&I core"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","C&I","Recycling","Recycling",426,"03 C&I core"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","C&I","Treatment","Unknown",2276,"03 C&I core"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","Total","Landfill","Disposal",50,"08 Total"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","Total","Other disposal","Disposal",3,"08 Total"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","Total","Recycling","Recycling",426,"08 Total"
"2015-2016","Vic","Hazardous","Organic chemicals","Type","Total","Treatment","Unknown",2276,"08 Total"
"2015-2016","Vic","Hazardous","Organic solvents","Type","C&I","Other disposal","Disposal",1,"03 C&I core"
"2015-2016","Vic","Hazardous","Organic solvents","Type","C&I","Recycling","Recycling",4315,"03 C&I core"
"2015-2016","Vic","Hazardous","Organic solvents","Type","C&I","Treatment","Unknown",404,"03 C&I core"
"2015-2016","Vic","Hazardous","Organic solvents","Type","Total","Other disposal","Disposal",1,"08 Total"
"2015-2016","Vic","Hazardous","Organic solvents","Type","Total","Recycling","Recycling",4315,"08 Total"
"2015-2016","Vic","Hazardous","Organic solvents","Type","Total","Treatment","Unknown",404,"08 Total"
"2015-2016","Vic","Hazardous","Other hazardous organic wastes","Type","C&I","Landfill","Disposal",7,"03 C&I core"
"2015-2016","Vic","Hazardous","Other hazardous organic wastes","Type","C&I","Recycling","Recycling",2534,"03 C&I core"
"2015-2016","Vic","Hazardous","Other hazardous organic wastes","Type","Total","Landfill","Disposal",7,"08 Total"
"2015-2016","Vic","Hazardous","Other hazardous organic wastes","Type","Total","Recycling","Recycling",2534,"08 Total"
"2015-2016","Vic","Hazardous","Other miscellaneous","Type","C&I","Other disposal","Disposal",53,"03 C&I core"
"2015-2016","Vic","Hazardous","Other miscellaneous","Type","C&I","Recycling","Recycling",732,"03 C&I core"
"2015-2016","Vic","Hazardous","Other miscellaneous","Type","C&I","Treatment","Unknown",615,"03 C&I core"
"2015-2016","Vic","Hazardous","Other miscellaneous","Type","Total","Other disposal","Disposal",53,"08 Total"
"2015-2016","Vic","Hazardous","Other miscellaneous","Type","Total","Recycling","Recycling",732,"08 Total"
"2015-2016","Vic","Hazardous","Other miscellaneous","Type","Total","Treatment","Unknown",615,"08 Total"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","C&I","Landfill","Disposal",39895,"03 C&I core"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","C&I","Other disposal","Disposal",10,"03 C&I core"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","C&I","Recycling","Recycling",2148,"03 C&I core"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","C&I","Treatment","Unknown",5159,"03 C&I core"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","Total","Landfill","Disposal",39895,"08 Total"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","Total","Other disposal","Disposal",10,"08 Total"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","Total","Recycling","Recycling",2148,"08 Total"
"2015-2016","Vic","Hazardous","Other soil/sludges","Type","Total","Treatment","Unknown",5159,"08 Total"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Landfill","Disposal",7,"03 C&I core"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Other disposal","Disposal",62,"03 C&I core"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Recycling","Recycling",24430,"03 C&I core"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","C&I","Treatment","Unknown",3823,"03 C&I core"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Landfill","Disposal",7,"08 Total"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Other disposal","Disposal",62,"08 Total"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Recycling","Recycling",24430,"08 Total"
"2015-2016","Vic","Hazardous","Paints, resins, inks, organic sludges","Type","Total","Treatment","Unknown",3823,"08 Total"
"2015-2016","Vic","Hazardous","Pesticides","Type","C&I","Landfill","Disposal",39,"03 C&I core"
"2015-2016","Vic","Hazardous","Pesticides","Type","C&I","Recycling","Recycling",801,"03 C&I core"
"2015-2016","Vic","Hazardous","Pesticides","Type","C&I","Treatment","Unknown",21,"03 C&I core"
"2015-2016","Vic","Hazardous","Pesticides","Type","Total","Landfill","Disposal",39,"08 Total"
"2015-2016","Vic","Hazardous","Pesticides","Type","Total","Recycling","Recycling",801,"08 Total"
"2015-2016","Vic","Hazardous","Pesticides","Type","Total","Treatment","Unknown",21,"08 Total"
"2015-2016","Vic","Hazardous","Plating & heat treatment","Type","C&I","Landfill","Disposal",7,"03 C&I core"
"2015-2016","Vic","Hazardous","Plating & heat treatment","Type","C&I","Treatment","Unknown",13,"03 C&I core"
"2015-2016","Vic","Hazardous","Plating & heat treatment","Type","Total","Landfill","Disposal",7,"08 Total"
"2015-2016","Vic","Hazardous","Plating & heat treatment","Type","Total","Treatment","Unknown",13,"08 Total"
"2015-2016","Vic","Hazardous","Reactive chemicals","Type","C&I","Recycling","Recycling",1,"03 C&I core"
"2015-2016","Vic","Hazardous","Reactive chemicals","Type","C&I","Treatment","Unknown",42,"03 C&I core"
"2015-2016","Vic","Hazardous","Reactive chemicals","Type","Total","Recycling","Recycling",1,"08 Total"
"2015-2016","Vic","Hazardous","Reactive chemicals","Type","Total","Treatment","Unknown",42,"08 Total"
"2015-2016","Vic","Hazardous","Tyres","Type","C&I","Energy from waste facility","Energy recovery",32263,"03 C&I core"
"2015-2016","Vic","Hazardous","Tyres","Type","C&I","Landfill","Disposal",51318,"03 C&I core"
"2015-2016","Vic","Hazardous","Tyres","Type","C&I","Recycling","Recycling",11309,"03 C&I core"
"2015-2016","Vic","Hazardous","Tyres","Type","Total","Energy from waste facility","Energy recovery",32263,"08 Total"
"2015-2016","Vic","Hazardous","Tyres","Type","Total","Landfill","Disposal",51318,"08 Total"
"2015-2016","Vic","Hazardous","Tyres","Type","Total","Recycling","Recycling",11309,"08 Total"
"2015-2016","Vic","Masonry materials","Asphalt","Type","C&D","Recycling","Recycling",183155,"02 C&D"
"2015-2016","Vic","Masonry materials","Asphalt","Type","MSW","Recycling","Recycling",8436,"01 MSW"
"2015-2016","Vic","Masonry materials","Asphalt","Type","Total","Recycling","Recycling",191591,"08 Total"
"2015-2016","Vic","Masonry materials","Bricks","Type","C&D","Recycling","Recycling",424778,"02 C&D"
"2015-2016","Vic","Masonry materials","Bricks","Type","MSW","Recycling","Recycling",2000,"01 MSW"
"2015-2016","Vic","Masonry materials","Bricks","Type","Total","Recycling","Recycling",426778,"08 Total"
"2015-2016","Vic","Masonry materials","Concrete","Type","C&D","Recycling","Recycling",2340192,"02 C&D"
"2015-2016","Vic","Masonry materials","Concrete","Type","MSW","Recycling","Recycling",33668,"01 MSW"
"2015-2016","Vic","Masonry materials","Concrete","Type","Total","Recycling","Recycling",2373860,"08 Total"
"2015-2016","Vic","Masonry materials","Plasterboard & cement sheeting","Type","C&D","Recycling","Recycling",36163,"02 C&D"
"2015-2016","Vic","Masonry materials","Plasterboard & cement sheeting","Type","C&I","Recycling","Recycling",82,"03 C&I core"
"2015-2016","Vic","Masonry materials","Plasterboard & cement sheeting","Type","MSW","Recycling","Recycling",623,"01 MSW"
"2015-2016","Vic","Masonry materials","Plasterboard & cement sheeting","Type","Total","Recycling","Recycling",36868,"08 Total"
"2015-2016","Vic","Masonry materials","Rubble (incl. non-haz. foundry sands)","Type","C&D","Recycling","Recycling",1020529,"02 C&D"
"2015-2016","Vic","Masonry materials","Rubble (incl. non-haz. foundry sands)","Type","C&I","Recycling","Recycling",13489,"03 C&I core"
"2015-2016","Vic","Masonry materials","Rubble (incl. non-haz. foundry sands)","Type","MSW","Recycling","Recycling",800,"01 MSW"
"2015-2016","Vic","Masonry materials","Rubble (incl. non-haz. foundry sands)","Type","Total","Recycling","Recycling",1034818,"08 Total"
"2015-2016","Vic","Metals","Aluminium","Type","C&I","Recycling","Recycling",35080,"03 C&I core"
"2015-2016","Vic","Metals","Aluminium","Type","MSW","Recycling","Recycling",1667,"01 MSW"
"2015-2016","Vic","Metals","Aluminium","Type","Total","Recycling","Recycling",36747,"08 Total"
"2015-2016","Vic","Metals","Non-ferrous metals (excl. aluminium)","Type","C&D","Recycling","Recycling",30444,"02 C&D"
"2015-2016","Vic","Metals","Non-ferrous metals (excl. aluminium)","Type","C&I","Recycling","Recycling",94617,"03 C&I core"
"2015-2016","Vic","Metals","Non-ferrous metals (excl. aluminium)","Type","MSW","Recycling","Recycling",38237,"01 MSW"
"2015-2016","Vic","Metals","Non-ferrous metals (excl. aluminium)","Type","Total","Recycling","Recycling",163298,"08 Total"
"2015-2016","Vic","Metals","Steel","Type","C&D","Recycling","Recycling",122591,"02 C&D"
"2015-2016","Vic","Metals","Steel","Type","C&I","Recycling","Recycling",326570,"03 C&I core"
"2015-2016","Vic","Metals","Steel","Type","MSW","Recycling","Recycling",188968,"01 MSW"
"2015-2016","Vic","Metals","Steel","Type","Total","Recycling","Recycling",638129,"08 Total"
"2015-2016","Vic","Organics","Food organics","Type","C&D","Recycling","Recycling",931,"02 C&D"
"2015-2016","Vic","Organics","Food organics","Type","C&I","Landfill","Disposal",161848,"03 C&I core"
"2015-2016","Vic","Organics","Food organics","Type","C&I","Landfill","Energy recovery",100307,"03 C&I core"
"2015-2016","Vic","Organics","Food organics","Type","C&I","Recycling","Recycling",68476,"03 C&I core"
"2015-2016","Vic","Organics","Food organics","Type","MSW","Landfill","Disposal",507414,"01 MSW"
"2015-2016","Vic","Organics","Food organics","Type","MSW","Landfill","Energy recovery",314474,"01 MSW"
"2015-2016","Vic","Organics","Food organics","Type","MSW","Recycling","Recycling",4611,"01 MSW"
"2015-2016","Vic","Organics","Food organics","Type","Total","Landfill","Disposal",669262,"08 Total"
"2015-2016","Vic","Organics","Food organics","Type","Total","Landfill","Energy recovery",414781,"08 Total"
"2015-2016","Vic","Organics","Food organics","Type","Total","Recycling","Recycling",74018,"08 Total"
"2015-2016","Vic","Organics","Garden organics","Type","C&D","Landfill","Disposal",20598,"02 C&D"
"2015-2016","Vic","Organics","Garden organics","Type","C&D","Landfill","Energy recovery",5611,"02 C&D"
"2015-2016","Vic","Organics","Garden organics","Type","C&I","Energy from waste facility","Energy recovery",3000,"03 C&I core"
"2015-2016","Vic","Organics","Garden organics","Type","C&I","Landfill","Disposal",84340,"03 C&I core"
"2015-2016","Vic","Organics","Garden organics","Type","C&I","Landfill","Energy recovery",22975,"03 C&I core"
"2015-2016","Vic","Organics","Garden organics","Type","C&I","Recycling","Recycling",183715,"03 C&I core"
"2015-2016","Vic","Organics","Garden organics","Type","MSW","Landfill","Disposal",132775,"01 MSW"
"2015-2016","Vic","Organics","Garden organics","Type","MSW","Landfill","Energy recovery",36169,"01 MSW"
"2015-2016","Vic","Organics","Garden organics","Type","MSW","Recycling","Recycling",271120,"01 MSW"
"2015-2016","Vic","Organics","Garden organics","Type","Total","Energy from waste facility","Energy recovery",3000,"08 Total"
"2015-2016","Vic","Organics","Garden organics","Type","Total","Landfill","Disposal",237713,"08 Total"
"2015-2016","Vic","Organics","Garden organics","Type","Total","Landfill","Energy recovery",64754,"08 Total"
"2015-2016","Vic","Organics","Garden organics","Type","Total","Recycling","Recycling",454835,"08 Total"
"2015-2016","Vic","Organics","Other organics","Type","C&I","Landfill","Disposal",4736,"03 C&I core"
"2015-2016","Vic","Organics","Other organics","Type","C&I","Landfill","Energy recovery",1397,"03 C&I core"
"2015-2016","Vic","Organics","Other organics","Type","C&I","Recycling","Recycling",88791,"03 C&I core"
"2015-2016","Vic","Organics","Other organics","Type","MSW","Landfill","Disposal",54655,"01 MSW"
"2015-2016","Vic","Organics","Other organics","Type","MSW","Landfill","Energy recovery",16119,"01 MSW"
"2015-2016","Vic","Organics","Other organics","Type","MSW","Recycling","Recycling",12979,"01 MSW"
"2015-2016","Vic","Organics","Other organics","Type","Total","Landfill","Disposal",59390,"08 Total"
"2015-2016","Vic","Organics","Other organics","Type","Total","Landfill","Energy recovery",17516,"08 Total"
"2015-2016","Vic","Organics","Other organics","Type","Total","Recycling","Recycling",101770,"08 Total"
"2015-2016","Vic","Organics","Timber","Type","C&D","Landfill","Disposal",109324,"02 C&D"
"2015-2016","Vic","Organics","Timber","Type","C&D","Landfill","Energy recovery",5217,"02 C&D"
"2015-2016","Vic","Organics","Timber","Type","C&D","Recycling","Recycling",70584,"02 C&D"
"2015-2016","Vic","Organics","Timber","Type","C&I","Energy from waste facility","Energy recovery",5120,"03 C&I core"
"2015-2016","Vic","Organics","Timber","Type","C&I","Landfill","Disposal",190221,"03 C&I core"
"2015-2016","Vic","Organics","Timber","Type","C&I","Landfill","Energy recovery",9078,"03 C&I core"
"2015-2016","Vic","Organics","Timber","Type","C&I","Recycling","Recycling",167473,"03 C&I core"
"2015-2016","Vic","Organics","Timber","Type","MSW","Landfill","Disposal",6537,"01 MSW"
"2015-2016","Vic","Organics","Timber","Type","MSW","Landfill","Energy recovery",312,"01 MSW"
"2015-2016","Vic","Organics","Timber","Type","MSW","Recycling","Recycling",23227,"01 MSW"
"2015-2016","Vic","Organics","Timber","Type","Total","Energy from waste facility","Energy recovery",5120,"08 Total"
"2015-2016","Vic","Organics","Timber","Type","Total","Landfill","Disposal",306082,"08 Total"
"2015-2016","Vic","Organics","Timber","Type","Total","Landfill","Energy recovery",14608,"08 Total"
"2015-2016","Vic","Organics","Timber","Type","Total","Recycling","Recycling",261284,"08 Total"
"2015-2016","Vic","Paper & cardboard","Cardboard","Type","C&D","Recycling","Recycling",257,"02 C&D"
"2015-2016","Vic","Paper & cardboard","Cardboard","Type","C&I","Recycling","Recycling",514545,"03 C&I core"
"2015-2016","Vic","Paper & cardboard","Cardboard","Type","MSW","Recycling","Recycling",1143,"01 MSW"
"2015-2016","Vic","Paper & cardboard","Cardboard","Type","Total","Recycling","Recycling",515945,"08 Total"
"2015-2016","Vic","Paper & cardboard","Newsprint & magazines","Type","C&D","Recycling","Recycling",41,"02 C&D"
"2015-2016","Vic","Paper & cardboard","Newsprint & magazines","Type","C&I","Recycling","Recycling",141114,"03 C&I core"
"2015-2016","Vic","Paper & cardboard","Newsprint & magazines","Type","MSW","Recycling","Recycling",20265,"01 MSW"
"2015-2016","Vic","Paper & cardboard","Newsprint & magazines","Type","Total","Recycling","Recycling",161420,"08 Total"
"2015-2016","Vic","Paper & cardboard","Office paper","Type","C&D","Recycling","Recycling",8,"02 C&D"
"2015-2016","Vic","Paper & cardboard","Office paper","Type","C&I","Recycling","Recycling",169533,"03 C&I core"
"2015-2016","Vic","Paper & cardboard","Office paper","Type","MSW","Recycling","Recycling",4227,"01 MSW"
"2015-2016","Vic","Paper & cardboard","Office paper","Type","Total","Recycling","Recycling",173768,"08 Total"
"2015-2016","Vic","Textiles, leather & rubber (excl. tyres)","Leather & rubber (excl. tyres)","Type","C&I","Recycling","Recycling",9163,"03 C&I core"
"2015-2016","Vic","Textiles, leather & rubber (excl. tyres)","Leather & rubber (excl. tyres)","Type","MSW","Recycling","Recycling",13,"01 MSW"
"2015-2016","Vic","Textiles, leather & rubber (excl. tyres)","Textiles","Type","C&I","Recycling","Recycling",278,"03 C&I core"
"2015-2016","Vic","Textiles, leather & rubber (excl. tyres)","Textiles","Type","MSW","Recycling","Recycling",1756,"01 MSW"
"2015-2016","WA","Ash","Ash","Type","C&I","Other disposal","Long-term storage",341267,"04 C&I (electricity generation)"
"2015-2016","WA","Ash","Ash","Type","C&I","Recycling","Recycling",682941,"04 C&I (electricity generation)"
"2015-2016","WA","Ash","Ash","Type","Total","Other disposal","Long-term storage",341267,"08 Total"
"2015-2016","WA","Ash","Ash","Type","Total","Recycling","Recycling",682941,"08 Total"
"2015-2016","WA","Biosolids","Biosolids","Type","C&I","Other disposal","Disposal",21098,"03 C&I core"
"2015-2016","WA","Biosolids","Biosolids","Type","C&I","Recycling","Recycling",97121,"03 C&I core"
"2015-2016","WA","Biosolids","Biosolids","Type","Total","Other disposal","Disposal",21098,"08 Total"
"2015-2016","WA","Biosolids","Biosolids","Type","Total","Recycling","Recycling",97121,"08 Total"
"2015-2016","WA","Glass","Glass","Type","C&D","Landfill","Disposal",27,"02 C&D"
"2015-2016","WA","Glass","Glass","Type","C&I","Landfill","Disposal",18598,"03 C&I core"
"2015-2016","WA","Glass","Glass","Type","C&I","Recycling","Recycling",840,"03 C&I core"
"2015-2016","WA","Glass","Glass","Type","MSW","Landfill","Disposal",62801,"01 MSW"
"2015-2016","WA","Glass","Glass","Type","MSW","Recycling","Recycling",45683,"01 MSW"
"2015-2016","WA","Glass","Glass","Type","Total","Landfill","Disposal",81426,"08 Total"
"2015-2016","WA","Glass","Glass","Type","Total","Recycling","Recycling",46523,"08 Total"
"2015-2016","WA","Hazardous","Acids","Type","C&I","Other disposal","Disposal",54,"03 C&I core"
"2015-2016","WA","Hazardous","Acids","Type","C&I","Recycling","Recycling",661,"03 C&I core"
"2015-2016","WA","Hazardous","Acids","Type","C&I","Treatment","Unknown",11425,"03 C&I core"
"2015-2016","WA","Hazardous","Acids","Type","Total","Other disposal","Disposal",54,"08 Total"
"2015-2016","WA","Hazardous","Acids","Type","Total","Recycling","Recycling",661,"08 Total"
"2015-2016","WA","Hazardous","Acids","Type","Total","Treatment","Unknown",11425,"08 Total"
"2015-2016","WA","Hazardous","Alkalis","Type","C&I","Other disposal","Disposal",2,"03 C&I core"
"2015-2016","WA","Hazardous","Alkalis","Type","C&I","Recycling","Recycling",99709,"03 C&I core"
"2015-2016","WA","Hazardous","Alkalis","Type","C&I","Treatment","Unknown",1109,"03 C&I core"
"2015-2016","WA","Hazardous","Alkalis","Type","Total","Other disposal","Disposal",2,"08 Total"
"2015-2016","WA","Hazardous","Alkalis","Type","Total","Recycling","Recycling",99709,"08 Total"
"2015-2016","WA","Hazardous","Alkalis","Type","Total","Treatment","Unknown",1109,"08 Total"
"2015-2016","WA","Hazardous","Asbestos","Type","C&D","Landfill","Disposal",20911,"02 C&D"
"2015-2016","WA","Hazardous","Asbestos","Type","C&I","Landfill","Disposal",17813,"03 C&I core"
"2015-2016","WA","Hazardous","Asbestos","Type","Total","Landfill","Disposal",38724,"08 Total"
"2015-2016","WA","Hazardous","Clinical & pharmaceutical","Type","C&I","Landfill","Disposal",290,"03 C&I core"
"2015-2016","WA","Hazardous","Clinical & pharmaceutical","Type","C&I","Other disposal","Disposal",2608,"03 C&I core"
"2015-2016","WA","Hazardous","Clinical & pharmaceutical","Type","C&I","Treatment","Unknown",12,"03 C&I core"
"2015-2016","WA","Hazardous","Clinical & pharmaceutical","Type","Total","Landfill","Disposal",290,"08 Total"
"2015-2016","WA","Hazardous","Clinical & pharmaceutical","Type","Total","Other disposal","Disposal",2608,"08 Total"
"2015-2016","WA","Hazardous","Clinical & pharmaceutical","Type","Total","Treatment","Unknown",12,"08 Total"
"2015-2016","WA","Hazardous","Contaminated soils","Type","C&D","Landfill","Disposal",1376,"02 C&D"
"2015-2016","WA","Hazardous","Contaminated soils","Type","C&D","Recycling","Recycling",2347,"02 C&D"
"2015-2016","WA","Hazardous","Contaminated soils","Type","C&D","Treatment","Unknown",6521,"02 C&D"
"2015-2016","WA","Hazardous","Contaminated soils","Type","C&I","Landfill","Disposal",535,"03 C&I core"
"2015-2016","WA","Hazardous","Contaminated soils","Type","C&I","Recycling","Recycling",913,"03 C&I core"
"2015-2016","WA","Hazardous","Contaminated soils","Type","C&I","Treatment","Unknown",2536,"03 C&I core"
"2015-2016","WA","Hazardous","Contaminated soils","Type","Total","Landfill","Disposal",1912,"08 Total"
"2015-2016","WA","Hazardous","Contaminated soils","Type","Total","Recycling","Recycling",3260,"08 Total"
"2015-2016","WA","Hazardous","Contaminated soils","Type","Total","Treatment","Unknown",9057,"08 Total"
"2015-2016","WA","Hazardous","Food-derived hazardous wastes","Type","C&I","Landfill","Disposal",3215,"03 C&I core"
"2015-2016","WA","Hazardous","Food-derived hazardous wastes","Type","C&I","Recycling","Recycling",108045,"03 C&I core"
"2015-2016","WA","Hazardous","Food-derived hazardous wastes","Type","C&I","Treatment","Unknown",290,"03 C&I core"
"2015-2016","WA","Hazardous","Food-derived hazardous wastes","Type","Total","Landfill","Disposal",3215,"08 Total"
"2015-2016","WA","Hazardous","Food-derived hazardous wastes","Type","Total","Recycling","Recycling",108045,"08 Total"
"2015-2016","WA","Hazardous","Food-derived hazardous wastes","Type","Total","Treatment","Unknown",290,"08 Total"
"2015-2016","WA","Hazardous","Inorganic chemicals","Type","C&I","Landfill","Disposal",20,"03 C&I core"
"2015-2016","WA","Hazardous","Inorganic chemicals","Type","C&I","Recycling","Recycling",11662,"03 C&I core"
"2015-2016","WA","Hazardous","Inorganic chemicals","Type","C&I","Treatment","Unknown",1292,"03 C&I core"
"2015-2016","WA","Hazardous","Inorganic chemicals","Type","Total","Landfill","Disposal",20,"08 Total"
"2015-2016","WA","Hazardous","Inorganic chemicals","Type","Total","Recycling","Recycling",11662,"08 Total"
