,Year,Jurisdiction,Category,Type,Stream,Management,Fate,Tonnes
173,2018,NSW,Ash,Ash,Total,Recycling,Recycling,4251341
174,2018,NSW,Biosolids,Biosolids,C&I,Other disposal,Disposal,17454
175,2018,NSW,Biosolids,Biosolids,C&I,Recycling,Recycling,379624
176,2018,NSW,Biosolids,Biosolids,Total,Other disposal,Disposal,17454
177,2018,NSW,Biosolids,Biosolids,Total,Recycling,Recycling,379624
178,2018,NSW,Glass,Glass,C&D,Recycling,Recycling,995
179,2018,NSW,Glass,Glass,C&I,Landfill,Disposal,42563
180,2018,NSW,Glass,Glass,C&I,Recycling,Recycling,60295
181,2018,NSW,Glass,Glass,MSW,Landfill,Disposal,101684
182,2018,NSW,Glass,Glass,MSW,Recycling,Recycling,191905
183,2018,NSW,Glass,Glass,Total,Landfill,Disposal,144247
184,2018,NSW,Glass,Glass,Total,Recycling,Recycling,253194
185,2018,NSW,Hazardous,Acids,C&I,Treatment,Unknown,4936
186,2018,NSW,Hazardous,Acids,Total,Treatment,Unknown,4936
187,2018,NSW,Hazardous,Alkalis,C&I,Treatment,Unknown,13474
188,2018,NSW,Hazardous,Alkalis,Total,Treatment,Unknown,13474
189,2018,NSW,Hazardous,Asbestos,C&D,Landfill,Disposal,712141
190,2018,NSW,Hazardous,Asbestos,C&I,Landfill,Disposal,606638
191,2018,NSW,Hazardous,Asbestos,Total,Landfill,Disposal,1318779
192,2018,NSW,Hazardous,Clinical & pharmaceutical,C&I,Other disposal,Disposal,3816
193,2018,NSW,Hazardous,Clinical & pharmaceutical,C&I,Treatment,Unknown,6807
194,2018,NSW,Hazardous,Clinical & pharmaceutical,Total,Other disposal,Disposal,3816
195,2018,NSW,Hazardous,Clinical & pharmaceutical,Total,Treatment,Unknown,6807
196,2018,NSW,Hazardous,Contaminated soils,C&D,Landfill,Disposal,552225
197,2018,NSW,Hazardous,Contaminated soils,C&D,Treatment,Unknown,40228
198,2018,NSW,Hazardous,Contaminated soils,C&I,Landfill,Disposal,214754
199,2018,NSW,Hazardous,Contaminated soils,C&I,Treatment,Unknown,15644
200,2018,NSW,Hazardous,Contaminated soils,Total,Landfill,Disposal,766979
201,2018,NSW,Hazardous,Contaminated soils,Total,Treatment,Unknown,55873
202,2018,NSW,Hazardous,Food-derived hazardous wastes,C&I,Recycling,Recycling,911
203,2018,NSW,Hazardous,Food-derived hazardous wastes,C&I,Treatment,Unknown,98361
204,2018,NSW,Hazardous,Food-derived hazardous wastes,Total,Recycling,Recycling,911
205,2018,NSW,Hazardous,Food-derived hazardous wastes,Total,Treatment,Unknown,98361
206,2018,NSW,Hazardous,Inorganic chemicals,C&I,Landfill,Disposal,9483
207,2018,NSW,Hazardous,Inorganic chemicals,C&I,Recycling,Recycling,36576
208,2018,NSW,Hazardous,Inorganic chemicals,C&I,Treatment,Unknown,45296
209,2018,NSW,Hazardous,Inorganic chemicals,Total,Landfill,Disposal,9483
210,2018,NSW,Hazardous,Inorganic chemicals,Total,Recycling,Recycling,36576
211,2018,NSW,Hazardous,Inorganic chemicals,Total,Treatment,Unknown,45296
212,2018,NSW,Hazardous,Oils,C&I,Landfill,Disposal,5
213,2018,NSW,Hazardous,Oils,C&I,Recycling,Recycling,12143
214,2018,NSW,Hazardous,Oils,C&I,Treatment,Unknown,201042
215,2018,NSW,Hazardous,Oils,Total,Landfill,Disposal,5
216,2018,NSW,Hazardous,Oils,Total,Recycling,Recycling,12143
217,2018,NSW,Hazardous,Oils,Total,Treatment,Unknown,201042
218,2018,NSW,Hazardous,Organic chemicals,C&I,Landfill,Disposal,166
219,2018,NSW,Hazardous,Organic chemicals,C&I,Recycling,Recycling,615
220,2018,NSW,Hazardous,Organic chemicals,C&I,Treatment,Unknown,8820
221,2018,NSW,Hazardous,Organic chemicals,Total,Landfill,Disposal,166
222,2018,NSW,Hazardous,Organic chemicals,Total,Recycling,Recycling,615
223,2018,NSW,Hazardous,Organic chemicals,Total,Treatment,Unknown,8820
224,2018,NSW,Hazardous,Organic solvents,C&I,Recycling,Recycling,139
225,2018,NSW,Hazardous,Organic solvents,C&I,Treatment,Unknown,925
226,2018,NSW,Hazardous,Organic solvents,Total,Recycling,Recycling,139
227,2018,NSW,Hazardous,Organic solvents,Total,Treatment,Unknown,925
228,2018,NSW,Hazardous,Other,C&I,Treatment,Unknown,12834
229,2018,NSW,Hazardous,Other,Total,Treatment,Unknown,12834
230,2018,NSW,Hazardous,Other hazardous organic wastes,C&I,Recycling,Recycling,4
231,2018,NSW,Hazardous,Other hazardous organic wastes,C&I,Treatment,Unknown,436
232,2018,NSW,Hazardous,Other hazardous organic wastes,Total,Recycling,Recycling,4
233,2018,NSW,Hazardous,Other hazardous organic wastes,Total,Treatment,Unknown,436
234,2018,NSW,Hazardous,Other miscellaneous,C&I,Recycling,Recycling,3
235,2018,NSW,Hazardous,Other miscellaneous,C&I,Treatment,Unknown,4315
236,2018,NSW,Hazardous,Other miscellaneous,Total,Recycling,Recycling,3
237,2018,NSW,Hazardous,Other miscellaneous,Total,Treatment,Unknown,4315
238,2018,NSW,Hazardous,Other soil/sludges,C&I,Landfill,Disposal,61831
239,2018,NSW,Hazardous,Other soil/sludges,C&I,Recycling,Recycling,8623
240,2018,NSW,Hazardous,Other soil/sludges,C&I,Treatment,Unknown,23722
241,2018,NSW,Hazardous,Other soil/sludges,Total,Landfill,Disposal,61831
242,2018,NSW,Hazardous,Other soil/sludges,Total,Recycling,Recycling,8623
243,2018,NSW,Hazardous,Other soil/sludges,Total,Treatment,Unknown,23722
244,2018,NSW,Hazardous,"Paints, resins, inks, organic sludges",C&I,Recycling,Recycling,60
245,2018,NSW,Hazardous,"Paints, resins, inks, organic sludges",C&I,Treatment,Unknown,13502
246,2018,NSW,Hazardous,"Paints, resins, inks, organic sludges",Total,Recycling,Recycling,60
247,2018,NSW,Hazardous,"Paints, resins, inks, organic sludges",Total,Treatment,Unknown,13502
248,2018,NSW,Hazardous,Pesticides,C&I,Treatment,Unknown,1831
249,2018,NSW,Hazardous,Pesticides,Total,Treatment,Unknown,1831
250,2018,NSW,Hazardous,Plating & heat treatment,C&I,Treatment,Unknown,327
251,2018,NSW,Hazardous,Plating & heat treatment,Total,Treatment,Unknown,327
252,2018,NSW,Hazardous,Reactive chemicals,C&I,Treatment,Unknown,69
253,2018,NSW,Hazardous,Reactive chemicals,Total,Treatment,Unknown,69
254,2018,NSW,Hazardous,Tyres,C&I,Energy from waste facility,Energy recovery,49076
255,2018,NSW,Hazardous,Tyres,C&I,Landfill,Disposal,46493
256,2018,NSW,Hazardous,Tyres,C&I,Other disposal,Disposal,2691
257,2018,NSW,Hazardous,Tyres,C&I,Recycling,Recycling,45309
258,2018,NSW,Hazardous,Tyres,Total,Energy from waste facility,Energy recovery,49076
259,2018,NSW,Hazardous,Tyres,Total,Landfill,Disposal,46493
260,2018,NSW,Hazardous,Tyres,Total,Other disposal,Disposal,2691
261,2018,NSW,Hazardous,Tyres,Total,Recycling,Recycling,45309
262,2018,NSW,Masonry materials,Asphalt,C&D,Recycling,Recycling,85275
263,2018,NSW,Masonry materials,Asphalt,Total,Recycling,Recycling,85275
264,2018,NSW,Masonry materials,Bricks,C&D,Recycling,Recycling,1291060
265,2018,NSW,Masonry materials,Bricks,C&I,Recycling,Recycling,325
266,2018,NSW,Masonry materials,Bricks,MSW,Recycling,Recycling,161
267,2018,NSW,Masonry materials,Bricks,Total,Recycling,Recycling,1291546
268,2018,NSW,Masonry materials,Concrete,C&D,Recycling,Recycling,1291060
269,2018,NSW,Masonry materials,Concrete,C&I,Recycling,Recycling,186
270,2018,NSW,Masonry materials,Concrete,MSW,Recycling,Recycling,92
271,2018,NSW,Masonry materials,Concrete,Total,Recycling,Recycling,1291339
272,2018,NSW,Masonry materials,Plasterboard & cement sheeting,C&D,Recycling,Recycling,24553
273,2018,NSW,Masonry materials,Plasterboard & cement sheeting,C&I,Recycling,Recycling,1
274,2018,NSW,Masonry materials,Plasterboard & cement sheeting,Total,Recycling,Recycling,24554
275,2018,NSW,Masonry materials,Rubble (incl. non-haz. foundry sands),C&D,Recycling,Recycling,4309002
276,2018,NSW,Masonry materials,Rubble (incl. non-haz. foundry sands),Total,Recycling,Recycling,4309003
277,2018,NSW,Metals,Aluminium,C&D,Recycling,Recycling,46467
